Timestamp,Temperature (C),Humidity (%)
2026-06-06 18:33:43,34.7,64.2
2026-06-06 18:33:45,34.7,64.2
2026-06-06 18:33:48,34.7,64.2
2026-06-06 18:33:48,34.7,64.2
2026-06-06 18:33:49,34.7,64.2
2026-06-06 18:33:51,34.7,64.2
2026-06-06 18:33:55,34.7,64.2
2026-06-06 18:33:57,34.7,64.2
2026-06-06 18:33:59,34.7,64.2
2026-06-06 18:34:01,34.7,64.2
2026-06-06 18:34:03,34.7,64.2
2026-06-06 18:34:05,34.7,64.2
2026-06-06 18:34:07,34.7,64.3
2026-06-06 18:34:10,34.7,64.3
2026-06-06 18:34:12,34.7,64.3
2026-06-06 18:34:14,34.7,64.3
2026-06-06 18:34:18,34.7,64.4
2026-06-06 18:34:20,34.7,64.4
2026-06-06 18:34:22,34.7,64.4
2026-06-06 18:34:24,34.7,64.3
2026-06-06 18:34:26,34.7,64.3
2026-06-06 18:34:28,34.7,64.4
2026-06-06 18:34:30,34.7,64.4
2026-06-06 18:34:32,34.7,64.5
2026-06-06 18:34:34,34.7,64.4
2026-06-06 18:34:38,34.7,64.5
2026-06-06 18:34:40,34.7,64.5
2026-06-06 18:34:42,34.7,64.5
2026-06-06 18:34:44,34.7,64.5
2026-06-06 18:34:46,34.7,64.5
2026-06-06 18:34:48,34.7,64.5
2026-06-06 18:34:50,34.7,64.5
2026-06-06 18:34:52,34.7,64.5
2026-06-06 18:34:54,34.7,64.5
2026-06-06 18:34:55,34.7,64.5
2026-06-06 18:34:56,34.7,64.5
2026-06-06 18:34:57,34.7,64.5
2026-06-06 18:34:59,34.7,64.5
2026-06-06 18:35:01,34.7,64.5
2026-06-06 18:35:03,34.7,64.5
2026-06-06 18:35:05,34.7,64.5
2026-06-06 18:35:07,34.7,64.5
2026-06-06 18:35:09,34.7,64.5
2026-06-06 18:35:11,34.8,64.5
2026-06-06 18:35:13,34.7,64.5
2026-06-06 18:35:15,34.7,64.5
2026-06-06 18:35:17,34.7,64.6
2026-06-06 18:35:19,34.7,64.6
2026-06-06 18:35:21,34.7,64.5
2026-06-06 18:35:25,34.7,64.6
2026-06-06 18:35:27,34.7,64.6
2026-06-06 18:35:29,34.7,64.6
2026-06-06 18:35:31,34.7,64.6
2026-06-06 18:35:33,34.7,64.6
2026-06-06 18:35:35,34.7,64.6
2026-06-06 18:35:37,34.7,64.6
2026-06-06 18:35:39,34.7,64.6
2026-06-06 18:35:41,34.7,64.6
2026-06-06 18:35:45,34.7,64.6
2026-06-06 18:35:47,34.7,64.6
2026-06-06 18:35:49,34.7,64.6
2026-06-06 18:35:51,34.7,64.6
2026-06-06 18:35:53,34.7,64.6
2026-06-06 18:35:56,34.8,64.6
2026-06-06 18:35:58,34.7,64.6
2026-06-06 18:36:00,34.7,64.7
2026-06-06 18:36:02,34.7,64.8
2026-06-06 18:36:04,34.7,64.8
2026-06-06 18:36:06,34.7,64.9
2026-06-06 18:36:10,34.7,64.9
2026-06-06 18:36:12,34.7,64.9
2026-06-06 18:36:14,34.7,64.9
2026-06-06 18:36:16,34.7,64.9
2026-06-06 18:36:18,34.7,64.9
2026-06-06 18:36:20,34.7,64.9
2026-06-06 18:36:22,34.7,64.9
2026-06-06 18:36:24,34.7,64.9
2026-06-06 18:36:28,34.8,64.9
2026-06-06 18:36:30,34.8,64.9
2026-06-06 18:36:32,34.8,64.9
2026-06-06 18:36:34,34.8,64.9
2026-06-06 18:36:36,34.8,64.9
2026-06-06 18:36:38,34.8,64.8
2026-06-06 18:36:40,34.8,64.8
2026-06-06 18:36:42,34.8,64.9
2026-06-06 18:36:45,34.8,64.9
2026-06-06 18:36:48,34.8,64.9
2026-06-06 18:36:51,34.8,64.9
2026-06-06 18:36:53,34.8,64.9
2026-06-06 18:36:55,34.8,64.9
2026-06-06 18:36:57,34.8,64.8
2026-06-06 18:36:59,34.8,64.8
2026-06-06 18:37:01,34.8,64.8
2026-06-06 18:37:03,34.8,64.8
2026-06-06 18:37:05,34.8,64.8
2026-06-06 18:37:07,34.8,64.8
2026-06-06 18:37:11,34.8,64.8
2026-06-06 18:37:13,34.8,64.8
2026-06-06 18:37:15,34.8,64.8
2026-06-06 18:37:17,34.8,64.8
2026-06-06 18:37:19,34.8,64.8
2026-06-06 18:37:21,34.8,64.8
2026-06-06 18:37:23,34.8,64.8
2026-06-06 18:37:25,34.8,64.8
2026-06-06 18:37:27,34.8,64.8
2026-06-06 18:37:31,34.8,69.8
2026-06-06 18:37:33,34.9,77.1
2026-06-06 18:37:35,34.9,76.8
2026-06-06 18:37:37,34.9,73.6
2026-06-06 18:37:39,34.9,70.4
2026-06-06 18:38:29,34.9,69.1
2026-06-06 18:38:29,34.9,69.1
2026-06-06 18:38:29,34.9,68.3
2026-06-06 18:38:29,34.9,67.9
2026-06-06 18:38:29,35.0,66.7
2026-06-06 18:38:29,35.0,66.4
2026-06-06 18:38:32,35.6,63.0
2026-06-06 18:38:32,36.0,60.1
