Thoi Gian,Nhiet Do (C),Do Am (%),PM2.5 (ug/m3),PM10 (ug/m3)
2026-06-20 18:12:21,34.0,57.0,33,38
2026-06-20 18:12:26,34.0,57.0,35,41
2026-06-20 18:12:31,34.0,57.0,36,42
2026-06-20 18:12:36,34.0,57.0,36,42
2026-06-20 18:12:41,34.0,57.0,36,42
2026-06-20 18:12:46,34.0,57.0,36,42
2026-06-20 18:12:51,34.0,57.0,37,43
2026-06-20 18:12:56,34.0,57.0,36,41
2026-06-20 18:13:01,34.0,57.0,34,40
2026-06-20 18:13:06,34.0,57.0,34,39
2026-06-20 18:13:11,34.0,57.0,36,41
2026-06-20 18:13:16,34.0,57.0,36,42
2026-06-20 18:13:21,34.0,56.0,36,42
2026-06-20 18:13:26,34.0,57.0,36,42
2026-06-20 18:13:31,34.0,57.0,36,42
2026-06-20 18:13:36,0.0,0.0,38,44
2026-06-20 18:13:41,34.0,56.0,37,45
2026-06-20 18:13:46,34.0,56.0,36,42
2026-06-20 18:13:51,34.0,57.0,35,42
2026-06-20 18:13:56,34.0,57.0,35,42
2026-06-20 18:14:02,34.0,56.0,34,40
2026-06-20 18:14:06,34.0,56.0,33,39
2026-06-20 18:14:11,34.0,56.0,34,39
2026-06-20 18:14:16,34.0,57.0,36,42
2026-06-20 18:14:29,0.0,0.0,38,45
2026-06-20 18:14:34,34.0,57.0,38,45
2026-06-20 18:14:39,34.0,57.0,39,45
2026-06-20 18:14:44,34.0,57.0,40,46
2026-06-20 18:14:55,34.0,58.0,40,47
2026-06-20 18:15:00,34.0,58.0,40,46
2026-06-20 18:15:05,34.0,57.0,40,46
2026-06-20 18:15:10,34.0,58.0,40,46
2026-06-20 18:15:21,34.0,58.0,46,54
2026-06-20 18:15:26,34.0,58.0,237,389
2026-06-20 18:15:31,34.0,58.0,400,723
2026-06-20 18:15:36,34.0,58.0,272,539
2026-06-20 18:15:41,34.0,58.0,85,120
2026-06-20 18:15:46,34.0,57.0,52,63
2026-06-20 18:15:51,34.0,58.0,43,52
2026-06-20 18:15:56,34.0,58.0,37,44
2026-06-20 18:16:01,34.0,58.0,35,41
2026-06-20 18:16:06,34.0,58.0,35,41
2026-06-20 18:16:11,34.0,58.0,35,41
2026-06-20 18:16:16,34.0,58.0,35,41
2026-06-20 18:16:21,34.0,58.0,35,42
2026-06-20 18:16:26,34.0,58.0,37,43
2026-06-20 18:16:31,34.0,58.0,37,44
2026-06-20 18:16:36,34.0,58.0,37,44
2026-06-20 18:16:41,34.0,58.0,37,44
2026-06-20 18:17:01,0.0,0.0,37,43
2026-06-20 18:17:08,34.0,58.0,37,43
2026-06-20 18:17:08,34.0,58.0,37,43
2026-06-20 18:17:11,34.0,59.0,38,43
2026-06-20 18:17:16,34.0,59.0,38,44
2026-06-20 18:17:21,34.0,59.0,38,44
2026-06-20 18:17:26,34.0,59.0,38,44
2026-06-20 18:17:31,34.0,59.0,38,44
2026-06-20 18:17:36,34.0,59.0,39,45
2026-06-20 18:17:41,34.0,59.0,38,44
2026-06-20 18:17:46,34.0,59.0,36,41
2026-06-20 18:17:51,34.0,59.0,35,40
2026-06-20 18:17:56,34.0,59.0,35,40
2026-06-20 18:18:02,0.0,0.0,36,41
2026-06-20 18:18:06,34.0,58.0,35,41
2026-06-20 18:18:11,34.0,58.0,35,40
2026-06-20 18:18:16,34.0,59.0,35,40
2026-06-20 18:18:21,34.0,59.0,35,40
2026-06-20 18:18:26,34.0,59.0,35,41
2026-06-20 18:18:31,35.0,58.0,36,42
2026-06-20 18:18:36,35.0,58.0,36,42
2026-06-20 18:18:41,35.0,58.0,37,42
2026-06-20 18:18:46,35.0,57.0,37,42
2026-06-20 18:18:51,35.0,57.0,37,43
2026-06-20 18:18:56,36.0,57.0,36,41
2026-06-20 18:19:01,36.0,57.0,35,40
2026-06-20 18:19:06,36.0,57.0,35,41
2026-06-20 18:19:11,35.0,57.0,36,42
2026-06-20 18:19:16,35.0,56.0,36,42
2026-06-20 18:19:21,35.0,56.0,35,41
2026-06-20 18:19:26,35.0,57.0,38,44
2026-06-20 18:19:31,35.0,57.0,51,61
2026-06-20 18:19:36,35.0,57.0,52,63
2026-06-20 18:19:41,35.0,57.0,49,59
2026-06-20 18:19:46,35.0,57.0,45,53
2026-06-20 18:19:51,35.0,57.0,41,48
2026-06-20 18:19:56,35.0,57.0,39,46
2026-06-20 18:20:01,35.0,57.0,39,45
2026-06-20 18:20:06,35.0,57.0,39,45
2026-06-20 18:20:11,35.0,57.0,38,44
2026-06-20 18:20:16,35.0,57.0,37,44
2026-06-20 18:20:21,35.0,58.0,36,42
2026-06-20 18:20:26,35.0,58.0,35,40
2026-06-20 18:20:31,35.0,58.0,34,39
2026-06-20 18:20:36,35.0,58.0,35,40
2026-06-20 18:20:41,35.0,58.0,36,41
2026-06-20 18:20:46,35.0,58.0,36,41
2026-06-20 18:20:51,35.0,58.0,35,39
2026-06-20 18:20:56,35.0,58.0,34,39
2026-06-20 18:21:01,35.0,58.0,34,38
2026-06-20 18:21:06,35.0,58.0,34,39
2026-06-20 18:21:11,35.0,58.0,34,39
2026-06-20 18:21:16,35.0,58.0,34,39
2026-06-20 18:21:21,35.0,59.0,35,40
2026-06-20 18:21:26,35.0,59.0,36,42
2026-06-20 18:21:31,35.0,59.0,36,42
2026-06-20 18:21:36,35.0,59.0,36,42
2026-06-20 18:21:41,35.0,59.0,36,42
2026-06-20 18:21:46,35.0,59.0,35,41
2026-06-20 18:21:51,35.0,59.0,36,41
2026-06-20 18:21:56,35.0,59.0,35,41
2026-06-20 18:22:01,35.0,59.0,35,41
2026-06-20 18:22:06,35.0,59.0,35,41
2026-06-20 18:22:11,35.0,59.0,35,40
2026-06-20 18:22:16,35.0,59.0,34,40
2026-06-20 18:22:21,35.0,59.0,34,39
2026-06-20 18:22:26,35.0,60.0,34,40
2026-06-20 18:22:31,35.0,60.0,35,41
2026-06-20 18:22:36,35.0,60.0,35,41
2026-06-20 18:22:41,35.0,60.0,34,39
2026-06-20 18:22:46,34.0,60.0,34,39
2026-06-20 18:22:51,34.0,60.0,35,40
2026-06-20 18:22:56,34.0,60.0,35,40
2026-06-20 18:23:02,34.0,60.0,35,40
2026-06-20 18:23:06,35.0,60.0,34,39
2026-06-20 18:23:11,35.0,60.0,35,40
2026-06-20 18:23:16,35.0,60.0,35,41
2026-06-20 18:23:21,35.0,60.0,35,40
2026-06-20 18:23:26,35.0,61.0,35,40
2026-06-20 18:23:31,35.0,61.0,34,40
2026-06-20 18:23:36,35.0,61.0,34,39
2026-06-20 18:23:41,35.0,61.0,34,39
2026-06-20 18:23:46,35.0,61.0,34,40
2026-06-20 18:23:51,35.0,61.0,34,40
2026-06-20 18:23:56,35.0,61.0,34,40
2026-06-20 18:24:01,35.0,61.0,34,40
2026-06-20 18:24:06,35.0,61.0,34,40
2026-06-20 18:24:11,35.0,61.0,34,40
2026-06-20 18:24:16,35.0,61.0,34,39
2026-06-20 18:24:21,35.0,61.0,33,39
2026-06-20 18:24:26,35.0,61.0,33,39
2026-06-20 18:24:31,35.0,61.0,33,38
2026-06-20 18:24:36,35.0,61.0,33,38
2026-06-20 18:28:50,34.0,64.0,37,44
2026-06-20 18:28:55,34.0,63.0,36,43
2026-06-20 18:29:00,34.0,63.0,36,43
2026-06-20 18:29:05,34.0,63.0,37,43
2026-06-20 18:29:10,34.0,63.0,37,43
2026-06-20 18:29:15,34.0,63.0,37,43
2026-06-20 18:29:20,34.0,63.0,37,43
2026-06-20 18:29:25,34.0,63.0,37,44
2026-06-20 18:29:30,34.0,63.0,38,44
2026-06-20 18:29:35,34.0,63.0,38,44
2026-06-20 18:29:40,34.0,63.0,37,43
2026-06-20 18:29:45,34.0,63.0,37,43
2026-06-20 18:29:50,34.0,63.0,37,44
2026-06-20 18:30:08,34.0,62.0,36,43
2026-06-20 18:30:13,34.0,62.0,36,42
2026-06-20 18:30:18,34.0,62.0,36,42
2026-06-20 18:30:23,34.0,62.0,36,42
2026-06-20 18:30:28,34.0,62.0,35,41
2026-06-20 18:30:33,34.0,62.0,35,41
2026-06-20 18:30:38,34.0,62.0,35,41
2026-06-20 18:30:43,34.0,62.0,35,41
2026-06-20 18:30:48,34.0,62.0,35,41
2026-06-20 18:30:53,34.0,62.0,35,41
2026-06-20 18:30:58,34.0,62.0,35,41
2026-06-20 18:31:03,34.0,62.0,35,41
2026-06-20 18:31:08,34.0,62.0,35,41
2026-06-20 18:31:13,34.0,62.0,35,41
2026-06-20 18:31:18,34.0,62.0,35,41
2026-06-20 18:31:23,34.0,62.0,35,41
2026-06-20 18:31:28,34.0,62.0,35,41
2026-06-20 18:31:33,34.0,62.0,35,41
2026-06-20 18:31:38,34.0,62.0,35,41
2026-06-20 18:31:43,34.0,62.0,35,40
2026-06-20 18:31:48,34.0,62.0,35,40
2026-06-20 18:31:53,34.0,62.0,35,40
2026-06-20 18:31:58,34.0,62.0,35,40
2026-06-20 18:32:03,34.0,62.0,34,39
2026-06-20 18:32:08,34.0,62.0,34,39
2026-06-20 18:32:13,34.0,62.0,35,40
2026-06-20 18:32:18,34.0,62.0,35,40
2026-06-20 18:32:23,34.0,62.0,35,40
2026-06-20 18:32:28,34.0,62.0,35,40
2026-06-20 18:32:33,34.0,62.0,35,41
2026-06-20 18:32:38,34.0,62.0,35,41
2026-06-20 18:32:43,34.0,62.0,35,40
